﻿"বঙ্গবন্ধু : স্মৃতি সত্তা ভবিষ্যৎ","সৈয়দ শামসুল হক","","TK. 300","TK. 225"
﻿"হোমো সেপিয়েন্স","নাজমুল হাসান","","TK. 270","TK. 203"
﻿"মার্ডার ইন এ মিনিট","সৌভিক ভট্টাচার্য","","TK. 300","TK. 225"
﻿"ছায়াময়","নিলয় নন্দী","","TK. 190","TK. 143"
﻿"তিন গোয়েন্দা ভলিউম-১৫০","শামসুদ্দীন নওয়াব","","TK. 101","TK. 76"
﻿"শেখ সাদী (রহ.)-এর গল্প (চিরকালের সেরা উপদেশমূলক)","আল্লামা শেখ সাদী (রহঃ)","","TK. 250","TK. 130"
﻿"চেজ","জেমস প্যাটারসন","","TK. 120","TK. 84"
﻿"কৃষি ও কৃষকের বঙ্গবন্ধু","ড. শামসুল আলম","","TK. 200","TK. 150"
﻿"চিরকুট","ফাতিমা আফরিন","","TK. 250","TK. 188"
﻿"মাইটি পাঞ্চ স্টুডিওস: সাবাশ (ভলিউম- ২)","সামির আসরান রহমান","","TK. 299","TK. 284"
﻿"কালো মেয়ের কালো চশমা","নার্গিস আখতার কণক","","TK. 125","TK. 94"
﻿"Legend","সাদ ইসলাম","","TK. 200","TK. 150"
﻿"দি গড অব স্মল থিংকস","অরুন্ধতী রায়","","TK. 300","TK. 150"
﻿"মাইনী নদীর বাঁকে","বন্যা হোসেন","","TK. 545","TK. 409"
﻿"স্বপ্নবাজি","রাহনূমা পারভীন","","TK. 296","TK. 222"
﻿"ওয়ার্ল্ড’স গ্রেটেস্ট সায়েন্স ফিকশন","স্যার আর্থার কোনান ডোয়েল","","TK. 300","TK. 225"
﻿"মিশন সুপারবাগ","শাহাদ সাইফ খন্দকার","","TK. 150","TK. 113"
﻿"নারীজনম","সুমন কুমার","","TK. 300","TK. 225"
﻿"জিগোলো","মালিহা তাবাসসুম","","TK. 270","TK. 203"
﻿"রবির মা","শেখ সাদী","","TK. 300","TK. 225"
﻿"অন্তর মম বিকশিত কোর ","নীলুফার আখতার","","TK. 150","TK. 113"
﻿"জীবন গড়ার কথামালা","সালেহ আহমদ শামী","","TK. 180","TK. 108"
﻿"সুলতান আবদুল হামিদ","ড. আলি মুহাম্মাদ সাল্লাবি ","","TK. 270","TK. 203"
﻿"পালকের ব্লাউজ","শিপা সুলতানা","","TK. 180","TK. 135"
﻿"হ্যাঁ","মোহিত কামাল","","TK. 300","TK. 225"
﻿"দুর্ধর্ষ","কাজী নাঈম","","TK. 270","TK. 203"
﻿"গল্পসমগ্র ","আহমদ ছফা","","TK. 300","TK. 225"
﻿"পলাতক তুফান","আচার্য জগদীশচন্দ্র বসু","","TK. 100","TK. 75"
﻿"অন্তরগঙ্গা","গোলাম রাব্বানী","","TK. 300","TK. 225"
﻿"তোমার আমার গল্প","আর জে উদয়","","TK. 200","TK. 150"
﻿"আরবান লেজেন্ডস (দ্বিতীয় চ্যাপ্টার)","লুৎফুল কায়সার","","TK. 220","TK. 154"
﻿"সিয়ার-উল-মুতাখখিরিন ২: আলিবর্দি খান ও সিরাজ-উদ-দৌলার বাংলা-বিহার-উড়িষ্যা","সৈয়দ গোলাম হোসেন খান তবাতবায়ি","","TK. 1,400","TK. 1,050"
﻿"খুশবন্তনামা","খুশবন্ত সিং","","TK. 200","TK. 150"
﻿"ম্যাচের আগের দিন","মোস্তাফা মামুন","","TK. 250","TK. 188"
﻿"সব গল্পের নাম হয় না ","আফরোজা আক্তার ","","TK. 400","TK. 300"
﻿"মোটিভেশন প্লাস","শামছুল হক রাসেল  ","","TK. 270","TK. 203"
﻿"পুঁজিবাদ এক ভৌতিক গল্প","অরুন্ধতী রায়","","TK. 175","TK. 131"
﻿"থাগস অব হিন্দুস্থান ও দ্য বডিগার্ড","এমিলিও সালগ্যারির","","TK. 175","TK. 131"
﻿"গল্পে আঁকা জ্ঞান","আবু সা’আদ","","TK. 150","TK. 90"
﻿"দ্য স্টোরি অব আলিবাবা অ্যান্ড দ্য ম্যানেজমেন্ট স্টাইল অব জ্যাক ম্যা","মোহাম্মদ আবদুল লতিফ","","TK. 200","TK. 150"
﻿"ব্যবসার স্বপ্ন থেকে স্বপ্নের ব্যবসা","মুনির হাসান খান","","TK. 400","TK. 300"
﻿"লাইফ কোচ (১ম খণ্ড)","আলামিন মোহাম্মদ","","TK. 255","TK. 191"
﻿"একজন অভ্র এবং জনৈক পিতা  ","আবুল ফাতাহ","","TK. 160","TK. 120"
﻿"সান্তা ফের আর্ট ডিস্ট্রিক্ট ও মুনলাইট ক্যাম্পফায়ার","মঈনুস সুলতান","","TK. 300","TK. 225"
﻿"ফ্রম এমটিভি টু মক্কা ","ক্রিস্টিয়ানা বেকার","","TK. 500","TK. 375"
﻿"আছে এবং নাই","কিযী তাহনিন","","TK. 290","TK. 218"
﻿"ঊনগল্প","শারমিন মুস্তারী","","TK. 160","TK. 120"
﻿"শিশুর যত্নে মায়ের জিজ্ঞাসা","ডা. লুনা পারভীন","","TK. 267","TK. 200"
﻿"লাল দালান","নারায়ণ চন্দ্র দেবনাথ","","TK. 100","TK. 75"
﻿"লালামামা, দ্য গ্রেট","ফরহাদ খুররম","","TK. 150","TK. 113"
﻿"১৩ থেকে ২৫","হিজবুর রহমান জীবন","","TK. 200","TK. 140"
﻿"মেঘবালিকার দেশে","সুশান্ত সরকার","","TK. 300","TK. 225"
﻿"মায়াডোর","সারা বুশরা দ্যুতি","","TK. 200","TK. 150"
﻿"মন মুকুরের ভেলা","মাহমুদ রেজা","","TK. 222","TK. 167"
﻿"খুন করার পর তাকে ভালোবেসে ফেলি","ইন্দ্রজিৎ সরকার","","TK. 330","TK. 231"
﻿"শায়খ আবদুল কাদির জিলানি রাহ.","ড. শায়খ আলি মুহাম্মাদ সাল্লাবি","","TK. 200","TK. 150"
﻿"লাবনী পয়েন্ট","জে. আলী","","TK. 200","TK. 150"
﻿"বাসবো না আর ভালো","মুহাম্মাদ শাকিল হোসাইন","","","TK. 40"
﻿"কপিক্যাট মার্কেটিং ১০১","বার্ক হেজেস","","TK. 150","TK. 105"
﻿"মুখোশের অন্তরালে","নাজমুল চৌধুরী","","TK. 300","TK. 225"
﻿"নিষিদ্ধ ভ্রমণ","প্রমিত হোসেন","","TK. 300","TK. 225"
﻿"মাইটি পাঞ্চ স্টুডিওস: সাবাশ (ভলিউম- ১)","সামির আসরান রহমান","","TK. 299","TK. 284"
﻿"ক্রান্তিকাল","জসীমুদ্দিন মাসুম","","TK. 400","TK. 300"
﻿"মাফলার","ইশতিয়াক আহমেদ","","TK. 120","TK. 90"
﻿"আপনার সমীপে যাহা বলিতে চাই","ইবাদ বিন সিদ্দিক","","TK. 150","TK. 113"
﻿"মায়া","সাকিব হাসান রুয়েল","","TK. 150","TK. 105"
﻿"ফেইলিওর ইন সেলস : বিক্রয়চেষ্টা ব্যর্থ হওয়ার কারণ ও প্রতিকার","মো. আব্দুল হামিদ","","TK. 270","TK. 203"
﻿"ধরণির পথে পথে","জিয়াউল হক","","TK. 350","TK. 245"
﻿"আনন্দলোকে","রাশেদুল ফরহাদ","","TK. 200","TK. 150"
﻿"রাত বলেছে যাই","আহমেদ ইশতিয়াক ","","TK. 160","TK. 120"
﻿"দেশাত্ববাদ","রোকন রকি","","TK. 250","TK. 188"
﻿"মাহাথির এবং মালয়েশিয়া","রাহমান চৌধুরী","","TK. 650","TK. 488"
﻿"বদলে যাচ্ছি আমি","কালী প্রসন্ন দাস","","TK. 100","TK. 75"
﻿"অতিলৌকিক ","রুমানা বৈশাখী","","TK. 200","TK. 150"
﻿"বুদ্ধি বিকাশের গল্প-৪","আবুল বাশার ফিরোজ","","TK. 167","TK. 125"
﻿"ছোটদের বঙ্গবন্ধু","মোঃ আবুল কালাম আজাদ","","TK. 200","TK. 140"
﻿"গুমের রাজনীতি এবং খাসোগি","মারুফ মল্লিক","","TK. 240","TK. 180"
﻿"স্টোরিজ অফ ইয়োর লাইফ এন্ড আদার্স","টেড শিয়াং","","TK. 320","TK. 240"
﻿"জেফ বেজস","জে. আর. ম্যাকগ্রেগর","","TK. 200","TK. 150"
﻿"নব প্লাবন","ফরিদ উদ্দিন ","","TK. 262","TK. 197"
﻿"পদ্মা সেতু","মোঃ এনায়েত চৌধুরী","","TK. 180","TK. 135"
﻿"তিন অপরূপা","আনিসুল হক","","TK. 600","TK. 450"
﻿"ছোবল","মাকসুদা আখতার প্রিয়তী","","TK. 400","TK. 300"
﻿"সাংবাদিকতা রাত বিরাতে","মাহফুজুর রহমান (সম্পাদক)","","TK. 250","TK. 188"
﻿"মালালা উই আর ডিসপ্লেসড","মালালা ইউসূফজাই","","TK. 260","TK. 195"
﻿"নাট্যঞ্জন : অঞ্জন দত্ত’র নাট্যজীবন","সাজ্জাদ হুসাইন","","TK. 1,000","TK. 750"
﻿"স্কুল ব্যাংকিং","ড. মাহমুদ আহমদ","","TK. 70","TK. 53"
﻿"ঘুম নিয়ে কিছু কথা","হুমায়ূন কবির  ","","TK. 200","TK. 150"
﻿"নামায বিশ্বকোষ (২টি ভলিয়ম সেট )","মুফতী মুহাম্মদ ইনআমুল হক কাসেমী","","TK. 1,200","TK. 720"
﻿"কিশোর মুসা রবিন সমগ্র-৫","রকিব হাসান","","TK. 300","TK. 225"
﻿"অপারেশন ফ্লোরিডা","রকিব হাসান","","TK. 150","TK. 113"
﻿"কিং সায়মনের রাজত্ব","নসীম হিজাযী","","TK. 220","TK. 154"
﻿"লাভিং ওয়াইফ","জাকারিয়া মুস্তাফি","","TK. 105","TK. 79"
﻿"বাটুল শাহ","ধ্রুব নীল","","TK. 100","TK. 75"
﻿"অরণ্যের দিন অরণ্যের রাত","লুনা নুসরাত","","TK. 296","TK. 222"
﻿"বাংলাদেশের রকগাথা: আজম খানের উত্তরাধিকার","মাকসুদুল হক","","TK. 400","TK. 300"
﻿"নগরে সমুদ্র","মাহতাব হোসেন","","TK. 250","TK. 188"
﻿"বেগমের কূটনৈতিক মিশন ও অন্যান্য","মাহবুব আলম","","TK. 300","TK. 225"
﻿"ইংরেজি ভাষার সহজ পাঠ","প্রতিভা রাণী কর্মকার ","","TK. 300","TK. 225"
﻿"যে গল্পের শেষ নেই শুরুও ছিল না","আল মাহমুদ","","TK. 315","TK. 236"
﻿"মায়ের গোপন ডায়রি","মোহাম্মদ হোসেন","","TK. 270","TK. 203"
﻿"নুড়ি পাথরের দ্বীপ","আবু সা’আদ","","TK. 180","TK. 108"
﻿"ইন দ্য মিসো স্যুপ","রিউ মুরাকামি","","TK. 270","TK. 189"
﻿"এপোথিওসীস","আতাউর রহমান সিহাব","","TK. 482","TK. 362"
﻿"দ্য লজ অফ হিউম্যান নেচার","রবার্ট গ্রীনে","","TK. 500","TK. 375"
﻿"রিফাতের অদ্-ভূত বন্ধু","সুমন্ত আসলাম","","TK. 180","TK. 135"
﻿"স্মৃতির পথরেখায়","রফিকুন নবী","","TK. 350","TK. 263"
﻿"কাব্যকথার ক্যানভাস-২","মঞ্জুর চৌধুরী","","TK. 320","TK. 240"
﻿"ফিজিক্স অলিম্পিয়াড","অজয় চক্রবর্তী","","TK. 300","TK. 225"
﻿"Battling Depression","গোলাম সামদানি ডন","","TK. 270","TK. 203"
﻿"কঠিন পশ্চিম","ইসমাইল আরমান","","TK. 129","TK. 97"
﻿"তৃষ্ণাতুর ফেব্রুয়ারী 2020","নির্মল বাংলাদেশ","","TK. 250","TK. 188"
﻿"আঁধারের কাছে","সাদিয়া সিদ্দিকা","","TK. 150","TK. 113"
﻿"দ্য গোল্ডেন কম্পাস","ফিলিপ পুলম্যান","","TK. 375","TK. 281"
﻿"মহাভারত : প্রাচ্যের ভাববাদী দর্শন, ধর্ম, নৈতিকতা ও সংস্কৃতি","ড. রহমান হাবিব","","TK. 250","TK. 188"
﻿"তুর পাহাড়ের দেশে : তোমার খোঁজে আমি","মাওলানা যুলফিকার আহমদ নকশবন্দী","","TK. 60","TK. 45"
﻿"অঙ্ক যত মজা তত","কমল চক্রবর্তী","","TK. 130","TK. 91"
﻿"বিশ্বায়ন, সাংস্কৃতিক আগ্রাসন ও গণমাধ্যম","মঈনুল ইসলাম","","TK. 400","TK. 300"
﻿"লা মিজারেবল","ভিক্টর হুগো","","TK. 700","TK. 525"
﻿"ভূতের বাড়ি ভূতের গলি","নাসিরুদ্দীন তুসী","","TK. 100","TK. 75"
﻿"কপিকাট মার্কেটিং","বার্ক হেজেস","","TK. 200","TK. 150"
﻿"অসুখপাখি","সোহেল নওরোজ","","TK. 250","TK. 188"
﻿"অনুরাগ শাস্ত্র","দেব মজুমদার","","TK. 400","TK. 300"
﻿"তুফান-২ রাজ্যছাড়া","আসিফুর রহমান","","TK. 180","TK. 135"
﻿"পৃথিবী সেরা সমকালীন কবিদের কবিতা","আমিনুর রহমান","","TK. 750","TK. 563"
﻿"জীববিজ্ঞানের জন্য ভালোবাসা","অতনু চক্রবর্ত্তী","","TK. 180","TK. 135"
﻿"আমার রবীন্দ্রযাপন","হাসান আজিজুল হক","","TK. 275","TK. 206"
﻿"সভ্যতার এপিঠ ওপিঠ","মাওলানা মুহাম্মদ আবদুল্লাহ খান ","","TK. 220","TK. 165"
﻿"দি প্রফেট (স.)","আরিফ মঈনুদ্দীন","","TK. 280","TK. 210"
﻿"হাইস্কুল ডায়েরি","নিগার ইশরাত ","","TK. 270","TK. 203"
﻿"শহীদুল জহির গল্পসমগ্র","মোহাম্মদ আব্দুর রশীদ","","TK. 695","TK. 521"
﻿"জ্যোৎস্নার নীল নীড়","শারমিন আক্তার সেজ্যোতি","","TK. 450","TK. 338"
﻿"মেঘ পিয়নের ব্যাগ","মিম্‌মি রহমান","","TK. 200","TK. 150"
﻿"বাজি ","ফাতিমা রুমি","","TK. 330","TK. 248"
